# pgrdf.surface() manifest — authored classification of every export.
# Columns: name(identity_args) <TAB> class <TAB> note
# Classes: stable (contract; removal/signature change = breaking release)
#          internal (reachable but not API; no compatibility promise)
#          spike (development measurement harness; may vanish without notice)
#          deprecated (superseded; the note names the replacement)
# Notes are CONSUMER-FACING: they describe what the function is and how to
# use it well, in words that stand alone. A completeness test enforces this
# file covers every extension-owned function in both directions.
add_graph(g bigint)	internal	ensures the quad partition for a raw graph id; consumers create graphs by IRI with add_graph(iri)
add_graph(id bigint, iri text)	internal	binds an explicit id/IRI pair; refuses rebinding either side. Consumers create graphs by IRI
add_graph(iri text)	stable	create (or ensure) a graph by IRI; returns its graph_id; idempotent
build_id()	stable	which build of version() this binary is (git describe at compile time); 'unknown' means the build did not supply one. Since 0.6.29
carve_graph(src bigint, predicate text, dst bigint)	stable	copy the subgraph matching one predicate from src into dst
carve_graph(src bigint, seeds text[], dst bigint, max_hops integer)	stable	copy the neighbourhood reachable from seed IRIs within max_hops from src into dst
clear_graph(id bigint)	stable	remove every triple from a graph; the graph itself remains
clear_graph(iri text)	stable	remove every triple from a graph by IRI; unknown IRI refuses (42704)
construct(query text)	stable	SPARQL CONSTRUCT; rows are JSONB triples suitable for put_construct_rows
copy_graph(src bigint, dst bigint)	stable	copy src into dst. Caution: appends, and carries inferred triples with it — clear dst first for a clean copy, re-materialize after
copy_graph(src_iri text, dst_iri text)	stable	copy by IRI; same append-and-carry caution as the id form
count_quads(g bigint)	stable	total quads (asserted + inferred) in one graph; graph 0 is the default graph
describe(query text)	stable	SPARQL DESCRIBE; rows are JSONB triples
drop_graph(id bigint, cascade boolean)	stable	drop a graph and its partition; refuses over inferred rows unless cascade (2BP01); cannot drop the default partition
drop_graph(iri text, cascade boolean)	stable	drop by IRI; unknown IRI refuses (42704)
get_term(id bigint)	stable	lexical value of a dictionary term id, as returned in query results and inventory
graph_digest(graph_id bigint)	stable	canonical graph identity, method rdfc-1.0-sha256: survives reload and blank-node relabelling; equal AND unequal are both conclusive. Absent graph refuses (42704); empty graph answers. Not comparable with structural_digest values. Since 0.6.32
graph_id(iri text)	stable	graph_id for an IRI, or NULL when unknown — check before feeding into strict functions, which silently pass NULL through
graph_integrity(graph_id bigint)	stable	term-position integrity report (non-IRI predicates, literal subjects); unclean graphs validate vacuously and should be reloaded
export_graph(graph_id bigint)	stable	a graph's asserted triples as canonical N-Triples, byte-sorted, one line per triple; inferred rows never export (they re-derive). Absent graph refuses (42704). Since 0.6.34
graph_inventory()	stable	every registered graph with IRI, asserted/inferred counts, lock state and materialization freshness (current/stale/never/unknown) — the supported alternative to reading private tables. Since 0.6.34
graph_manifest(graph_id bigint)	stable	portable manifest of one graph: three digests each carrying its method (bytes / rdfc-1.0 identity / fd1 structure), counts, engine identity, and what is NOT carried. Pair with export_graph to build a redistributable package. Since 0.6.34
graph_iri(id bigint)	stable	IRI bound to a graph_id, or NULL when unknown
last_call_stats()	stable	per-call completeness figures (path_depth_truncations, filter_clauses_dropped) for the most recent sparql/construct/describe call in THIS session; session-local, so other sessions cannot pollute it. Read it right after the query. Since 0.6.34
load_turtle(path text, graph_id bigint, base_iri text, bulk_load boolean)	stable	load a Turtle FILE from the server filesystem; bulk_load enables the parallel ingest fast path
load_turtle_dict_batched(path text, graph_id bigint, base_iri text, dict_batch_size integer)	internal	tuning variant of load_turtle with explicit dictionary batching; use load_turtle
load_turtle_staged(IN path text, IN graph_id bigint, IN n_workers integer)	stable	staged multi-worker bulk load as a CALL-able procedure; per-phase commits, resumable
load_turtle_staged_ping(n_workers integer)	internal	staged-loader worker-pool liveness diagnostic
load_turtle_staged_run(path text, graph_id bigint, n_workers integer)	stable	staged multi-worker bulk load, function form; returns the run report
load_turtle_streaming(path text, graph_id bigint, window_triples integer, id_reserve_block integer, base_iri text)	stable	windowed streaming load for files larger than memory
load_turtle_verbose(path text, graph_id bigint, base_iri text, bulk_load boolean)	stable	load_turtle returning a JSONB report (counts, timings, source sha256) instead of a bare count
lock_graph(graph_id bigint, reason text)	stable	write-fence a graph with a mandatory reason; every engine write path refuses while held (55P03). A coordination primitive, not a security boundary. Since 0.6.28
